rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,month
115,spotify:track:6DyotcCWPqKQT8YWireU6L,Low G,Tán Gái 505,Rap Nhà Làm,65,118,46,168898,3
116,spotify:track:5Bti0azlFhMattVY76qFr9,Vũ.,Lạ Lùng,WM Vietnam,17,108,313,168114,3
117,spotify:track:3b34161QoxLwsqhWSPy9i5,Da LAB,Thanh Xuân,Sony Music Entertainment,1,123,293,166080,3
118,spotify:track:2qWP5ZarXRsdmxzz3L3BtP,"SUNI Hạ Linh, Hoàng Dũng, GREY D, Orange, tlinh",có hẹn với thanh xuân,Universal Music Indochina Distributed Labels,27,107,88,165988,3
119,spotify:track:1GJ3suxtUVaguVQRemw6Zp,Andiez,Suýt Nữa Thì...,MaiDao Music,82,111,91,165359,3
120,spotify:track:25edeHHueINMguqu9emCyV,"Đen, Phương Anh Đào",Lối Nhỏ,Đen,1,130,232,164576,3
121,spotify:track:2n00rcPaXcWfFB9irOKOmh,Ronboogz,Anh Chỉ Muốn,MaiDao Music,117,124,12,164004,3
122,spotify:track:1ecVks3GJX8U67DvhVDVBn,AMEE,trời giấu trời mang đi,Yin Yang Media,52,121,62,163590,3
123,spotify:track:3AejRjgBsFV4HWHjJmmEP7,"GREY D, Orange, Kai Đinh",lời tạm biệt chưa nói,Universal Music Indochina Distributed Labels,22,125,89,163133,3
124,spotify:track:4N99EuIjwSSFFFMDfTeOLU,"buitruonglinh, Vũ Phụng Tiên",Em Không Khóc (feat. Vũ Phụng Tiên),Yin Yang Media,106,127,76,162845,3
125,spotify:track:1yo967mk7CpjvruNxBecOY,Thắng,Trước Khi Em Tồn Tại,Thắng,22,113,46,159811,3
126,spotify:track:4x8vUZgiQWB25eS2M0we6Q,"BigDaddy, Emily",Mượn Rượu Tỏ Tình,MUNIZ MUSIC COMPANY LIMITED,1,117,160,159674,3
127,spotify:track:5BJqg07SKgmFnVLOBmLFvq,Bùi Anh Tuấn,"Hẹn Một Mai - From"" 4 Năm 2 Chàng 1 Tình Yêu""",Vietnam Music Award,109,109,4,159108,3
128,spotify:track:4AgFXIVT7hVhBZ5DEOaLu3,Thịnh Suy,tiny love,Yin Yang Media,3,146,122,158546,3
129,spotify:track:4h3K653rm69JYWpO4du2BJ,Andiez,Chờ Đợi Có Đáng Sợ,Yin Yang Media,76,126,94,158465,3
130,spotify:track:7h2zqUH4bYyknNUxsYnS5V,"PhucXp, Freak D",Như Anh Đã Thấy Em,MaiDao Music,33,120,67,158168,3
131,spotify:track:2nR51wakN5K3AJENqGaNg9,"Đen, MIN",Bài Này Chill Phết,Đen,1,136,253,156781,3
132,spotify:track:3rUGC1vUpkDG9CZFHMur1t,Tate McRae,greedy,RCA Records Label,107,140,26,156741,3
133,spotify:track:53zusvCJkyGYjEZ6bnLIjh,Hà Anh Tuấn,Tháng Tư Là Lời Nói Dối Của Em,Yin Yang Media,49,-1,18,156072,3
134,spotify:track:2WOpp4vm16unl0N3i3BNNv,"NÂN, Ngơ",Tình Đắng Như Ly Cà Phê,nân,15,128,222,156035,3
135,spotify:track:1fgzQI6AtswiR0JMXulldH,Nguyễn Minh Xuân Ái,Là Từ Lúc,AD Ent,135,-1,1,155517,3
136,spotify:track:40fjFtLBN98eDzOS4NfXs5,"Da LAB, Tóc Tiên",Nước Mắt Em Lau Bằng Tình Yêu Mới,MUNIZ MUSIC COMPANY LIMITED,114,150,63,154738,3
137,spotify:track:24eClW0wZh5fFEFwsUWdSG,"Wren Evans, itsnk",Cầu Vĩnh Tuy,Universal Music Indochina,16,133,16,153673,3
138,spotify:track:4acXEYw7ayyJnm9GXDrqiL,"Binz, Nomovodka",Hit Me Up (feat. Nomovodka),Spacespeakers,4,114,24,153425,3
139,spotify:track:6uxuJ8Fr1AAfSPJUF9N1yr,Vũ.,Bước Qua Mùa Cô Đơn,WM Vietnam,1,122,173,152571,3
140,spotify:track:0QzuaeCEEOV40Pn7IvKEny,Dhruv,double take,Little Worry/RCA Records,8,147,152,152216,3
141,spotify:track:5qbjUmVV1yOOjcMOInNPYD,"Kai Đinh, MIN, GREY D",để tôi ôm em bằng giai điệu này,Yin Yang Media,18,156,67,151933,3
142,spotify:track:71Q8QWLpvwvfQ6zM5BdCnm,"2T, Văn",Liệu Giờ,LOOPS Music,22,135,187,151714,3
143,spotify:track:2cJyuhqcXvd6ccvAn8NXsL,tlinh,thế giới thần tiên,Universal Music Indochina Distributed Labels,62,138,31,151422,3
144,spotify:track:6Wi18yv3aoO0ZF4uulguof,"Ngọt, Mạc Mai Sương",Đá tan,Ngọt,55,115,39,151237,3
145,spotify:track:2UtFCtiSoc30GJ4MUcHDKr,"Obito, Shiki",Tell the kids i love them,12 trái lê,30,145,25,150388,3
146,spotify:track:1Vla7vXcM0zimotYpresDT,tlinh,tình yêu có nghĩa là gì?,Universal Music Indochina Distributed Labels,7,134,34,149624,3
147,spotify:track:2O4Bb2WCkjlTPO827OnBMI,LE SSERAFIM,EASY,SOURCE MUSIC,93,174,7,149317,3
148,spotify:track:7AD5F85waSb3yZxZxEXhJM,"Tóc Tiên, Touliver",Có Ai Thương Em Như Anh,Yin Yang Media,20,153,96,148544,3
149,spotify:track:0Rx4GFPy8ISxPhRwkjl64b,AMEE,"ex's hate me, Pt.2",Yin Yang Media,13,160,82,146723,3
150,spotify:track:7oBUoEbCDF748UkHnLusUB,Thịnh Suy,Chuyện Rằng,Yin Yang Media,5,144,191,146436,3
151,spotify:track:0wwfocY1CfXcKfMcWSoGXc,buitruonglinh,Yêu Người Có Ước Mơ,LOOPS Music,83,148,51,146200,3
152,spotify:track:1sEOTXdVl8X7SzuJi0P1cq,"Dept, Ashley Alisha",Van Gogh (feat. Ashley Alisha),WM Korea,41,137,18,145364,3
153,spotify:track:3uT8QfoX0BE8ZJa4h98LDW,"Puppy, Dangrangto",Wrong Times,MaiDao Music,73,161,22,144881,3
154,spotify:track:0Lmbke3KNVFXtoH2mMSHCw,Ariana Grande,the boy is mine,Republic Records,98,129,4,144531,3
155,spotify:track:4S0uLMXRoAjFfIJOW7A8aW,Rhymastic,Nến Và Hoa,WM Vietnam,2,151,199,144003,3
156,spotify:track:4TMdpMJNQdcawl8JjZEwLk,Lãng,Nụ hôn Bisou,12 trái lê,10,149,37,142942,3
157,spotify:track:2nFXaYb2fWOoUJXMPb6y4C,"Obito, Shiki, Lăng LD",Đầu Đường Xó Chợ,12 trái lê,39,175,22,142754,3
158,spotify:track:1izPmgSW7FV6XFdEOiTvOY,"Changg, Minh Huy",Em Không Hiểu,Universal Music Indochina Distributed Labels,27,158,144,142238,3
159,spotify:track:05X3a0YGmS1rbH50aL8lGF,"Văn Mai Hương, Hứa Kim Tuyền",Một Ngàn Nỗi Đau,Yin Yang Media,7,143,93,142158,3
160,spotify:track:2YkWEClnZUYazZxq6GQ8OT,"Mer, Kriss Ngo",tâm,LOOPS Music,160,187,2,141838,3
161,spotify:track:4gaxEUZE4z9pJAVTSFwgQI,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,161,-1,1,140760,3
162,spotify:track:0ObH6HhEWiI2kXBJ4tusbQ,"j-hope, HUH YUNJIN",i don't know (with HUH YUNJIN of LE SSERAFIM),BIGHIT MUSIC,162,-1,1,140608,3
163,spotify:track:2vYaldhZyuRk6me6yowg8e,Sơn Tùng M-TP,Buông Đôi Tay Nhau Ra,Universal Music Indochina Distributed Labels,86,168,41,139166,3
164,spotify:track:0pQ67Kp2kED4ISy1ieGPEq,"PC, Dick, tofutns",Ghé Qua,12 trái lê,64,169,185,138848,3
165,spotify:track:3aKXtIPNRoD73KLpsNnNoK,"j-hope, Nile Rodgers, benny blanco",lock / unlock (with benny blanco & Nile Rodgers),BIGHIT MUSIC,165,-1,1,138419,3
166,spotify:track:7fNHfgOxPLcg4mQLhCnOHB,"Rapital, Groovie Lã Thắng, tlinh, RPT MCK",XTC (Xích Thêm Chút) (Remix),M Music Records,87,163,144,138262,3
167,spotify:track:0hiQvlWSSTr7n1kc1X2Lus,"HIEUTHUHAI, Harmonie",Bật Nhạc Lên,GERDNANG,59,157,180,137911,3
168,spotify:track:2CFC7iLurCyDYuXQcfem2l,Quang Hùng MasterD,Thủy Triều,Quang Hùng MasterD,69,139,7,136805,3
169,spotify:track:33S16Xa5cZmLPhn6eZI4Nm,"52Hz, WEAN, RIO",ĐỢI (SPECIAL VERSION) [ft. WEAN],DAO Entertainment,102,-1,8,136410,3
170,spotify:track:57FeZINjlat9NLEhYUejmd,"VSOUL, MFREE, TUYEN VO",NGTANOISE,VSOUL,83,141,38,136056,3
171,spotify:track:2PYDUM2IC01FOTDLQdFxJP,"W/N, Duongg, Nau",3 1 0 7 - 2 (feat. DuongG & Nau),GUM GROUP,27,165,162,133568,3
172,spotify:track:4Iz5EWPCAT8jYNk4IpLoll,buitruonglinh,Dù Cho Mai Về Sau,Yin Yang Media,10,178,159,133429,3
173,spotify:track:2Npr9vbXuQYcpnsouBIrHU,"The Masked Singer, Voi Bản Đôn",Ngày Mai Người Ta Lấy Chồng (feat. Voi Bản Đôn),THE MASKED SINGER,39,162,33,133253,3
174,spotify:track:1fFvYVg1v3rpUSqKNCUh7b,Vũ Cát Tường,Người Bình Thường,Universal Music Indochina Distributed Labels,173,177,4,133251,3
175,spotify:track:2o4dDfLK6NVI7TjBm5VoMv,"Lou Hoàng, Miu Lê",Yêu Một Người Có Lẽ,Onlyc Entertainment,33,173,119,133023,3
176,spotify:track:62SFLTN7txImu8pQwBMP6A,"Tăng Duy Tân, Hoà Minzy",Bật Tình Yêu Lên,Big Arts Entertainment,4,154,59,133002,3
177,spotify:track:3clfEGdaeSmWM6pDekmZ2G,AMEE,đen đá không đường,Yin Yang Media,97,183,11,131818,3
178,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,172,101,130399,3
179,spotify:track:5gWnqeM0qdEWl2xQXcs1Kb,"SIVAN, Kai Đinh",haydeanhduoccungemdau,LOOPS Music,140,142,20,130334,3
180,spotify:track:4YSryHqsD82Krc81l1EJD5,"tlinh, 2pillz, WOKEUP",ghệ iu dấu của em ơi,Universal Music Indochina Distributed Labels,8,185,58,129704,3
181,spotify:track:7paCdW3grnoEi95tjO1OkG,Thịnh Suy,Thắc Mắc?,InQ International,137,152,17,129529,3
182,spotify:track:7eDrdQ7PK9Xm1CZCKWsgmH,"Vũ., TRANG",Anh Nhớ Ra (feat. TRANG),WM Vietnam,19,186,77,128870,3
183,spotify:track:5AaHvf9iO6RydAIissh0kz,"Obito, Seachains",Simple Love,12 trái lê,155,170,18,128718,3
184,spotify:track:3XEspwit4d8gwKKgeopfCv,"Sean, Lửa",Em Thích,MaiDao Music,65,155,63,127911,3
185,spotify:track:5YiqPAVbiFUj1G1qvbXo0X,Chillies,Giấc Mơ Khác,WM Vietnam,14,-1,56,127908,3
186,spotify:track:5Msoarj5hk9LguTtiIyqug,Đức Phúc,Ngày Đầu Tiên,Duc Phuc,2,167,110,127246,3
187,spotify:track:0DtarPcErIh4skfFtxzomo,Tama,Ngày Em Đẹp Nhất,Tama,104,189,43,127051,3
188,spotify:track:79bSb2Ilugozn6VygdplEZ,Andiez,1 Phút,MaiDao Music,21,171,164,126784,3
189,spotify:track:1w3eUC89GPspKpi62tPwjt,Hoàng Dũng,Nàng Thơ,Yin Yang Media,2,179,189,126410,3
190,spotify:track:5yNB5nPXblrSwtS9d0ssAU,"W/N, 267",id 2022 (feat. 267),W NATION,61,164,14,125920,3
191,spotify:track:74X2u8JMVooG2QbjRxXwR8,LE SSERAFIM,Perfect Night,SOURCE MUSIC,101,-1,16,125483,3
192,spotify:track:6W6kWAXbMS2aOJXoUpw7iI,"j-hope, JINBO the SuperFreak",what if… (dance mix),BIGHIT MUSIC,192,-1,1,125466,3
193,spotify:track:7e8Kt6pX4Y589CJL37mIWa,AMEE,thay mọi cô gái yêu anh,Yin Yang Media,6,-1,34,124981,3
194,spotify:track:5nD5PVXUkIpv0WcwfNFrgS,"Orange, Hoàng Dũng",Khi Em Lớn,Orange,4,193,145,123708,3
195,spotify:track:3nw5vYaH4qVx8joq3qhtNx,Low G,Okeokeoke,Rap Nhà Làm,103,180,52,123485,3
196,spotify:track:7GDgpad2BQVuDUzaxHFakc,BABYMONSTER,LIKE THAT,YG Entertainment,196,-1,1,123302,3
197,spotify:track:3y6kYOBeVg8jtUiBdTR0pD,"Tùng TeA, PC, TaynguyenSound",Già Cùng Nhau Là Được,12 trái lê,70,191,103,123082,3
198,spotify:track:70hEVaGwwat644nPWkhKNW,Phuc Du,yêu anh đi mẹ anh bán bánh mì,LOOPS Music,28,192,49,122935,3
199,spotify:track:0s7RyyUlQfd8mnnboHe18n,"MANBO, HIEUTHUHAI, HURRYKNG",Hẹn Gặp Em Dưới Ánh Trăng,Gerdnang,123,-1,14,122918,3
200,spotify:track:41aMYNen9G7uUbqLfV65cF,"Rapital, RPT MCK, Phongkhin",Tay To,M Music Records,58,195,142,122724,3
1,spotify:track:2KslE17cAJNHTsI2MI0jb2,Jung Kook,Standing Next to You,BIGHIT MUSIC,1,1,25,853644,4
2,spotify:track:2HRgqmZQC0MC7GeNuDIXHN,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,1,3,42,694635,4
3,spotify:track:2xOhv7XudrBDtkID1jwsFE,Vũ Cát Tường,Từng Là,Universal Music Indochina Distributed Labels,2,4,9,647085,4
4,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,2,2,2,553531,4
5,spotify:track:3Ua0m0YmEjrMi9XErKcNiR,Jimin,Like Crazy,BIGHIT MUSIC,1,9,58,522435,4
6,spotify:track:4qYfRfSxsmhJ1WMaywtLyI,"Wren Evans, itsnk",Từng Quen,Universal Music Indochina,1,8,27,510470,4
7,spotify:track:3OVMe3H6iAxbLF8iD2UYrw,Sơn Tùng M-TP,Chúng Ta Của Tương Lai,Universal Music Indochina Distributed Labels,1,5,8,495852,4
8,spotify:track:1aKvZDoLGkNMxoRYgkckZG,ILLIT,Magnetic,BELIFT LAB,5,6,6,484490,4
9,spotify:track:2N0SPREDYqILVEFSsWF5N5,V,Love Me Again,BIGHIT MUSIC,2,7,38,468610,4
10,spotify:track:3ZbZtdEw9U0uZW4tZItIwq,"RHYDER, CoolKid, BAN",Chịu Cách Mình Nói Thua,RHYDER,6,10,23,455285,4
11,spotify:track:1SS0WlKhJewviwEDZ6dWj0,"ZICO, JENNIE",SPOT!,KOZ Entertainment,11,-1,1,446843,4
12,spotify:track:1bG6Q8sR8jda7ryI365y8o,"Vũ., Dear Jane",Những Lời Hứa Bỏ Quên,WM Vietnam,1,11,20,442416,4
13,spotify:track:4fj4Jn4nw8fGX8xdbCntJf,"CoolKid, RHYDER",Sau Cơn Mưa,MaiDao Music,12,13,35,424567,4
14,spotify:track:0PBTlQ84CBJF0tBnKGmQa6,V,FRI(END)S,BIGHIT MUSIC,1,12,7,407993,4
15,spotify:track:4exlWP8cokkWVCvyP3kg7c,"tlinh, 2pillz",nếu lúc đó,Universal Music Indochina Distributed Labels,1,16,61,384236,4
16,spotify:track:2uZmeuNAxSm7XfVIwLkhCx,Ronboogz,nhắn nhủ,MaiDao Music,16,22,20,377230,4
17,spotify:track:4CUvVaAYuXtvYURLFz7EIL,"Emcee L (Da LAB), Da LAB, Muộii (Starry Night)",Chuyện Đôi Ta (feat. Muộii),Yin Yang Media,3,14,126,373764,4
18,spotify:track:7jLSThU5Kg1RWt19Leiaxm,"RPT MCK, Trung Trần",Chìm Sâu,N0L4B3L,1,15,114,368120,4
19,spotify:track:6VXVYATpQXEIoZ97NnWCmn,"Madihu, Vũ.",Vì Anh Đâu Có Biết,WM Vietnam,2,20,91,367966,4
20,spotify:track:7tFwBnuaGXqiiONukPRaCo,Minh Huy,Miên Man,LOOPS Music,11,18,35,365843,4
21,spotify:track:1khMN4Adfi3LrZvxOq4YM5,"VSOUL, RPT MCK, Obito, Ronboogz, Boyzed","Buồn Hay Vui (feat. RPT MCK, Obito, Ronboogz & Boyzed)",12 trái lê,3,17,19,352409,4
22,spotify:track:1K0HQ30Wc11okzlcnFA7Ub,HIEUTHUHAI,Không Thể Say,M Music Records,7,24,54,351315,4
23,spotify:track:5PLjpBivzvuaIIqqkQgnRK,"GREY D, tlinh",vaicaunoicokhiennguoithaydoi,M Music Records,2,28,98,347724,4
24,spotify:track:1o6cYDMHvKOfizi4d9Lqxr,W/N,id 072019,Universal Music Indochina Distributed Labels,3,23,40,340964,4
25,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,11,43,45,336618,4
26,spotify:track:3K7RddI2L8Wiv7uIbrhfLc,"The Masked Singer, Lâm Bảo Ngọc, Hứa Kim Tuyền",Rồi Em Sẽ Gặp Một Chàng Trai Khác,THE MASKED SINGER,11,21,24,336403,4
27,spotify:track:5T6j0rfpCDBzAxC8Fpd0N7,"Low G, Thắng",An Thần,Rap Nhà Làm,2,31,132,331686,4
28,spotify:track:5C1O3fpMsiisJpHiB1uuDf,"52Hz, RIO",ĐỢI (Prod. RIO),DAO Entertainment,13,26,17,323600,4
29,spotify:track:3a2Oftcs10wtzw6AmxuTMU,Olew,Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau,LOOPS Music,8,35,67,319347,4
30,spotify:track:0kHgteR4TV4LO80wrasDSR,"Karik, GDucky",Bạn Đời,WM Vietnam,5,33,31,312531,4
31,spotify:track:5BTzf3doGTigDIYUFtbkI9,"Emcee L (Da LAB), Da LAB, Badbies",Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies),Yin Yang Media,5,29,175,311510,4
32,spotify:track:4NTanSVXBkQ2NmDEbr2vLE,"Kai Đinh, GREY D, Hoàng Thùy Linh",Trái đất ôm Mặt trời,Yin Yang Media,8,25,19,309279,4
33,spotify:track:3A9A7mfVDVm3rrS9SMGhg5,Kha,Hư không,MaiDao Music,22,38,16,308990,4
34,spotify:track:4jWmhzf53Q0ZvZMuGdiR9x,"WEAN, tlinh",shhhhhhh..,WEAN,9,32,30,307469,4
35,spotify:track:1LxaXT8hwdBWSNpOqTjF8R,SOOBIN,giá như,Spacespeakers,13,27,3,300851,4
36,spotify:track:6KgZf5gZgF1KLNxq1qZgHP,Phương Ly,Anh Là Ngoại Lệ Của Em,WM Vietnam,7,34,30,300362,4
37,spotify:track:3YctJXK6kznnWl68TnYobN,RPT MCK,Anh Đã Ổn Hơn,N0L4B3L,3,36,61,290080,4
38,spotify:track:01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,2,19,31,288376,4
39,spotify:track:4nXrVH5xwN1w6TpmP7uu8n,"HIEUTHUHAI, marzuz",Exit Sign,M Music Records,24,42,29,285605,4
40,spotify:track:3ukrFH17Zl6iEZ2QJ1Zwiy,"RPT Orijinn, Ronboogz",Don't Côi,Rapital,3,37,71,283690,4
41,spotify:track:0gzpqwLf1jhNjnSJEyweAX,"Kuun Đức Nam, Linh Thộn",Tình cờ yêu em,MaiDao Music,12,51,36,283277,4
42,spotify:track:2kauMp3YNHXULGXyJh4321,"Wren Evans, itsnk",Phóng Đổ Tim Em,Universal Music Indochina,9,47,20,283185,4
43,spotify:track:5ECHJ1llWBNYLVCYrllD3x,"Da LAB, Phương Ly",Chạy Khỏi Thế Giới Này,LOOPS Music,11,46,96,280571,4
44,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Sabrina Carpenter,Espresso,Island Records,44,130,2,278383,4
45,spotify:track:2o1pb13quMReXZqE7jWsgq,Ariana Grande,intro (end of the world),Republic Records,13,39,8,274387,4
46,spotify:track:2JuHIbFudHwDqQssgqsH3i,"Vũ Phụng Tiên, DT Tập Rap, Drum7",Lệ Lưu Ly,Big Arts Entertainment,6,49,32,272619,4
47,spotify:track:1xoadYaxtOp9gHDwgmPDuz,"JSOL, Hoàng Duyên",Sài Gòn Hôm Nay Mưa,Universal Music Indochina,3,57,153,270768,4
48,spotify:track:36OyVzUmUFb1MTTzy3YXbh,Phan Mạnh Quỳnh,"Sau Lời Từ Khước (Theme Song From ""MAI"")",Yin Yang Media,3,44,11,269949,4
49,spotify:track:1njlnn8ZKHI77Pe9szIONR,BABYMONSTER,SHEESH,YG Entertainment,45,45,5,268833,4
50,spotify:track:5LQpQ6SDeaz6SIkR0lvsoC,"GREY D, Chillies",đưa em về nhàa,M Music Records,3,55,54,264223,4
51,spotify:track:0SLhB9JLM4Ksz1XdwK3aQD,"Obito, Shiki, VSTRA",Hà Nội,12 trái lê,11,54,30,263402,4
52,spotify:track:5iZHnufFUgATzrpGgH1K0W,T.R.I,Ánh Sao Và Bầu Trời,Yin Yang Media,1,52,130,262931,4
53,spotify:track:76KYaCx7UjHwlnrqzcovLZ,PC,10 Ngàn Năm,12 trái lê,53,60,99,262371,4
54,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,17,41,8,258791,4
55,spotify:track:2doGmsaPLdot51o80juiYU,"Obito, Shiki, RPT MCK",Đánh Đổi,12 trái lê,7,56,30,256499,4
56,spotify:track:5J3m0taZ0W1E9HTE0MwcSv,Low G,Simp Gái 808,Rap Nhà Làm,9,48,29,255857,4
57,spotify:track:0X28PqBpbQhWdi4usYw0w5,"Wren Evans, itsnk",Tò Te Tí,Universal Music Indochina,3,58,20,255436,4
58,spotify:track:7kgzRBNkBRArtTPkYjWLYT,"14 Casper, Bon Nghiêm",bao tiền một mớ bình yên?,DANDERLÉON,9,62,158,255361,4
59,spotify:track:3G1aAxWS2Nd17FQs4PWV6X,BTS,Run,BIGHIT MUSIC,59,-1,3,247544,4
60,spotify:track:27Z9T0mSWHYWSj9SNOGvyt,"JustaTee, Phương Ly",Thằng Điên,NGUYEN THANH TUAN,2,63,91,245890,4
61,spotify:track:28bxbqNcAuNxYDZYet6eZ7,"RPT MCK, tlinh",Chỉ Một Đêm Nữa Thôi,N0L4B3L,9,59,61,245271,4
62,spotify:track:255vSRpVq5YYKBJiem1BVx,Andree Right Hand,Chơi Như Tụi Mỹ,$maker Music,4,67,50,243710,4
63,spotify:track:3hqOrxH5qPlvrApcb7Ac8c,Ronboogz,Lan Man,MaiDao Music,33,71,55,239607,4
64,spotify:track:4qJSUFwZFouto5VZUlln75,"tlinh, Trung Trần",Thích Quá Rùi Nà,Universal Music Indochina Distributed Labels,34,64,189,238687,4
65,spotify:track:6jcLKVmEKAQIXIVHJZ8vzS,"MONSTAR, GREY D, NICKY, VƯƠNG BÌNH",tình yêu chậm trễ,Yin Yang Media,46,65,73,231069,4
66,spotify:track:3DLtPObflLQBodZN8qGODT,"JustaTee, BigDaddy",2AM,WM Vietnam,18,61,105,230502,4
67,spotify:track:6D94p9ASguBcYlDC0o56vx,HIEUTHUHAI,NOLOVENOLIFE,M Music Records,24,69,29,229459,4
68,spotify:track:1J3SmWwlYAG68LGKr86MVH,Sơn Tùng M-TP,Chúng Ta Của Hiện Tại,Universal Music Indochina Distributed Labels,1,75,176,227716,4
69,spotify:track:0vkExWiBJSrfWnlMC7x48b,UMIE,Không Yêu Xin Đừng Nói - Piano Version,LOOPS Music,37,74,61,223491,4
70,spotify:track:6kCU6i8iRrAAmJJ8Sj4JYC,"Shartnuss, Tr.D, Phankeo",Nắng có mang em về,MaiDao Music,70,91,12,222342,4
71,spotify:track:65aTHDZWUdh6WIafu9MtNF,"HIEUTHUHAI, Negav, Kewtiie",ngủ một mình (tình rất tình),M Music Records,2,76,72,217575,4
72,spotify:track:6IHLOkgZftkcqS3fM0jMCT,"MONO, Onionn.",Em Xinh,M Music Records,10,77,18,214797,4
73,spotify:track:5cml547MByVlaVrKU2lJTg,"Andree Right Hand, Wxrdie, Bình Gold, 2pillz",Em iu,$maker Music,18,92,49,214576,4
74,spotify:track:1K3CXUYKhLYN7koLW5WQjX,Thắng,Xin Lỗi,Thắng,5,101,50,210517,4
75,spotify:track:3QD2NfLEIvMRbzv2uTu4B7,Myra Trần,Anh Chưa Thương Em Đến Vậy Đâu,Sony Music Entertainment,6,89,69,208711,4
76,spotify:track:6Hs2xIgB8nzyGFDvVA8lFa,"Madihu, Low G",Có Em,NGUYEN CHI PHONG,4,81,106,207141,4
77,spotify:track:4gaxEUZE4z9pJAVTSFwgQI,"14 Casper, Bon Nghiêm, buitruonglinh",một đời,DANDERLÉON,70,86,5,206967,4
78,spotify:track:18iADruKMXIloyA9vCJXFE,"An Vũ, Sino",Chàng Trai Bất Tử,Yin Yang Media,56,72,13,205024,4
79,spotify:track:2ddbldKhKrYvOBbYa87cbj,"Vũ., Hà Anh Tuấn",Dành Hết Xuân Thì Để Chờ Nhau,WM Vietnam,13,70,7,204197,4
80,spotify:track:0tGmDUHDoT8pxYhgAT3yNG,"Wren Evans, itsnk",bé ơi từ từ,Universal Music Indochina,8,84,20,203855,4
81,spotify:track:1EmMFSLRVkOszCa4ul9z0F,"W/N, Duongg, Nau, titie",3107 3,Universal Music Indochina Distributed Labels,1,83,144,194743,4
82,spotify:track:4PCh6DAkUYKnEmvjV4ouOs,Bích Phương,Nâng Chén Tiêu Sầu,Yin Yang Media,7,68,8,193930,4
83,spotify:track:1dUmmBh2nw8XzEI3au0uFs,Thịnh Suy,Chết Trong Em,InQ International,4,85,79,193160,4
84,spotify:track:65cM1nyMf9pFDZVV8xmPX9,GREY D,dự báo thời tiết hôm nay mưa,M Music Records,7,88,76,193081,4
